"entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_address_country","field_address_administrative_area","field_address_sub_administrative_area","field_address_locality","field_address_dependent_locality","field_address_postal_code","field_address_thoroughfare","field_address_premise","field_address_sub_premise","field_address_organisation_name","field_address_name_line","field_address_first_name","field_address_last_name","field_address_data"
"node","listing_lodging","0","74","4586416","und","0","US","NC",NULL,"Waynesville",,"28786","176 Country Club Drive",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","75","75","und","0","US","NC",NULL,"Marion",,"28752","219 Haynes Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","75","4586421","und","0","US","NC",NULL,"Marion",,"28752","219 Haynes Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","76","76","und","0","US","NC",NULL,"Asheville",,"28803","39 Stockwood Road Ext",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","77","77","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","77","4586426","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","78","78","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","78","2342816","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","78","2342821","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","78","4586431","und","0","US","NC",NULL,"Mars Hill",,"28754",,"59 Valley Drive",NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","79","79","und","0","US","NC",NULL,"Asheville",,,"Town Mountain Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","79","4586436","und","0","US","NC",NULL,"Asheville",,,"Town Mountain Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","85","85","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","85","4586446","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","87","87","und","0","US","NC",NULL,"Mills River",,"28759","290 Lance Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","87","4586456","und","0","US","NC",NULL,"Mills River",,"28759","290 Lance Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","88","88","und","0","US","NC",NULL,"Waynesville",,"28785","445 Boyd Farm Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","88","4586461","und","0","US","NC",NULL,"Waynesville",,"28785","445 Boyd Farm Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","89","89","und","0","US","NC",NULL,"Leicester",,"28748","207 Robinson Cove Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","89","4586466","und","0","US","NC",NULL,"Leicester",,"28748","207 Robinson Cove Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","90","90","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","90","4586471","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","90","7652546","und","0","US","NC",NULL,"Asheville",,"28803","96 Avondale Heights Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","91","91","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","91","4586476","und","0","US","NC",NULL,"Hot Springs",,"28743",,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","92","92","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","92","4586481","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","96","96","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","96","4586496","und","0","US","NC",NULL,"Asheville",,"28801","173 East Chestnut Street",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","97","97","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","100","100","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","100","4586506","und","0","US","NC",NULL,"Hot Springs",,"28743","18769 NC 209",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","101","101","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","101","4586511","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","102","102","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","102","4586516","und","0","US",,NULL,"Marshall",,"28753","215 Meadow Branch Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","103","103","und","0","US",,NULL,,,,,,NULL,NULL,NULL,NULL,NULL,NULL
